"id","name","sub_title","preparation_method","nut_recommend","comment","minutes","meal_types","ingredients"
"20","עוף ואספרגוס","עוף קל ומהיר בסגנון אסיתי","בקערה קטנה מערבבים סויה ודבש. \r\nמוסיפים עוף ומערבבים עד שכל העוף מכוסה ברוטב. \r\nעל מחבת מטגנים קלות אספרגוס (בערך 5 דק\').\r\nמוצאים את האספרגוס לקערה נפרדת. \r\nמכניסים את העוף (ללא הרוטב) למחבת ומבשלים (בערך 5 דק\'). \r\nמוסיפים שום, בצל ירוק, את הרוטב שנשאר מהעוף.\r\nמבשלים כ 2 דק\'. \r\nשופכים את כל תכולת המחבת לקערה עם האספרגוס, מוסיפים שמן שומשום ומערבבים. \r\nאפשר לפזר שומשום קלוי לקישוט (לא חובה).\r\nניתן להגיש על מצע של אורז (לא חובה). \r\n","העוף הופך את המנה לעשירה בחלבון ומהווה כ 50% מהצריכה היומית המומלצת למבוגרים מעל גיל 19. \r\nאספרגוס הוא ירק העשיר בויטמין B3 ו B6  והוא נחשב בתרבויות מסוימות כמעורר חשק מיני.  \r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. ","","15","ארוחת צהריים, ארוחת ערב","אספרגוס, בצל, דבש (תערובת), זית, סומסום, עוף, פולי סויה, שום"
"21","חזה עוף אפוי","חזה עסיסי כמנה בשרית או כפרוסות לכריכים","ממלאים קערה  גדולה במים חמים ומוסיפים כף גדושה של מלח.\r\nמכניסים את העוף ל 15 דק\'. \r\nמחממים תנור ל 170 מעלות. \r\nמוציאים מהקערה ושוטפים במים קרים. \r\nמניחים בתבנית מרופדת בנייר אפייה. \r\nמברישים בשמן זית. \r\nמפזרים תבלינים לפי טעם: מלח, פלפל שחור, שום ופפריקה. \r\nצולים במשך 30 דק\' עד שהעוף קריספי ועסיסי. \r\nמוציאים מהתנור ונותנים לו לנוח למשך 10 דק\'.\r\nבתאבון!","העוף הופך את המנה לעשירה בחלבון ומהווה מעל ל 50% מהצריכה היומית המומלצת למבוגרים מעל גיל 19. \r\nהמנה מכילה כ 1/4 מהקצובה המומלצת לB12 .\r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. ","","20","ארוחת צהריים, ארוחת ערב","זית, עוף, פלפל, שחור, פפריקה, תבלין, שום"
"22","חזה עוף אפוי","חזה עסיסי כמנה בשרית או כפרוסות לכריכים","ממלאים קערה  גדולה במים חמים ומוסיפים כף גדושה של מלח.\r\nמכניסים את העוף ל 15 דק\'. \r\nמחממים תנור ל 170 מעלות. \r\nמוציאים מהקערה ושוטפים במים קרים. \r\nמניחים בתבנית מרופדת בנייר אפייה. \r\nמברישים בחמאה.\r\nמפזרים תבלינים לפי טעם: מלח, פלפל שחור, שום ופפריקה. \r\nצולים במשך 30 דק\' עד שהעוף קריספי ועסיסי. \r\nמוציאים מהתנור ונותנים לו לנוח למשך 10 דק\'.\r\nבתאבון!","העוף הופך את המנה לעשירה בחלבון ומהווה מעל ל 50% מהצריכה היומית המומלצת למבוגרים מעל גיל 19. \r\nהמנה מכילה כ 1/4 מהקצובה המומלצת לB12 .\r\nהשימוש בחמאה תורם לתכולת השומן הרווי במנה, לכן האופציה של שמן זית עדיפה , במידה והדבר תואם את תוצאות בדיקת אי-הסבילות . \r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.","","20","ארוחת צהריים, ארוחת ערב","מוצרי חלב (פרה) - לא להשתמש!, עוף, פלפל, שחור, פפריקה, תבלין, שום"
"23","ענבים קפואים","פרי בגירסא קצת שונה ומרעננת","מקפיאים את הענבים בפריזר למשך 4 שעות.\r\nבתאבון!\r\nניתן להקפיא כמות גדולה המחולקת למנות בשקיות אישיות .","הענבים נחשבים לעשירים בנוגדי חימצון .\r\nהקפאה של הפרי בשקיות אישיות ומוכנות לאכילה תמנע אכילה של יותר ממנת פרי אחת (12 ענבים).","","5","נשנוש","ענב / צימוק"
"24","בייבי גזר בתנור עם שום ","תוספת צד עסיסית","מחממים תנור ל 170 מעלות.\r\nבתבנית אפייה מרופדת בנייר מניחים את הגזרים (בשכבה 1). \r\nשופכים מעל לגזרים שמן זית, חומץ בלסמי, שום ותימין.\r\nמתבלים במלח ופלפל לפי הטעם. \r\nאופים במשך 40 גק\' עד שהגזרים קלוים. \r\nאפשר לקשט עם פטרוזיליה (לא חובה). ","מנת ירק שיכולה להוות תוספת חגיגית וצבעונית לצלחת האוכל. \r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. ","","45","ארוחת צהריים, ארוחת ערב, תוספת","גזר, זית, ענב / צימוק, פטרוזיליה, פלפל, שחור, שום, תימין , קורנית"
"25","פנקייק","פינוק של בוקר","בקערה גדולה מערבבים קמח, אבקת אפייה, סודה לשתיה ומלח.\r\nבקערה קטנה מערבבים ביצים ולבן עד לקבלת תערובת אחידה.\r\nמוסיפים את תערובות הביצים אל הקערב הגדולה עם הקמח ומערבבים עד לקבלת תערובות אחידה.\r\nמוסיפים חמאה וסוכר ומערבבים עד לקבלת תערובות אחידה.\r\nמחממים מחבת , משמנים בחמאה או שמן קנולה.\r\nבעזרת מצקת מוזגים עיגולים של התערובות על המחבת.\r\nמטגנים על צד אחד עד שצצות בועות ושוליים זהובים, הופכים לצד השני עד להשחמה.\r\nמגישים עם סירופ מייפל!\r\nבתאבון!","שימו לב - חישוב הרכב המנה אינו כולל בתוכו את סירוף המייפל \"לקישוט\". כף סירוף מייפל 1 תורמת כ 52 קק\"ל, 13.5 גר\' פחמימות  מתוכם 12 גר\' סוכרים. ","","10","ארוחת בוקר, נשנוש, קינוחים","ביצי תרנגולות (חלבון וחלמון), חיטה, חלבון הביצה, חלב ( פרה), חלמון הביצה, סירופ מייפל, קנה סוכר"
"26","עוף במלח","מתכון פשוט וטעים","ממליחים את העוף עם כפית מלח כ 1-3 שעות לפני הבישול. \r\nשומרים במקרר עד 10 דק\' לפני ההכנה. \r\nמחממים תנור ל 200 מעלות. \r\nממקמים את העוף בתבנית (עור כלפי מעלה). \r\nאופים 10 דק\' עד שהעוף שחום וקריספי. \r\nמנמיכים את הטמפ\' ל 120 מעלות ואופים עוד 25 דק\'. \r\n\r\n","העוף הופך את המנה לעשירה בחלבון ומהווה כמעט 100% מהצריכה היומית המומלצת לנשים מעל גיל 19 וכ 75% מהצריכה היומית המומלצת לגברים מעל גיל 19. \r\nטועמים ואז מחליטים אם להוסיף מלח. תוספת למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.","","45","ארוחת צהריים, ארוחת ערב","עוף"
"27","עוף בשום ודבש","מתכון מנצח למשפחה. הכנה זריזה וזמן בישול ארוך.","בסיר לבישול איטי מניחים את העוף.\r\nבקערה קטנה מערבבים את כל המרכיבים ושופכים על העוף.\r\nמבשלים על עוצמת low למשך 6 שעות או על עוצמת high  למשך 3-4 שעות.\r\nניתן להגיש על אורז או ירקות מאודים(לא חובה). ","העוף הופך את המנה לעשירה בחלבון ומהווה כמעט 100% מהצריכה היומית המומלצת לנשים מעל גיל 19 וכ 75% מהצריכה היומית המומלצת לגברים מעל גיל 19. \r\nשימו לב לכמות הנתרן במנה! ישנו מעל ל 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום. \r\nבחירה נבונה במוצרים יכולה להוריד את כמות הנתרן במנה.  שימוש ברוטב סויה מופחת נתרן, שעדין מלוח מאוד יפחית בערך 200 מ\"ג נתרן מהמנה (לכל כף!!). החלפה של קטשופ ברסק עגבניות מהול במים ומתובל ב1/4 כפית מלח ו1/4 כפית פפריקה תפחית את הנתרן במנה ואף את כמות הפחמימות (כי מי שלא ידע - קטשופ מכיל הרבה סוכר...). \r\n","","15","ארוחת צהריים, ארוחת ערב","בזיליקום, ריחן, דבש (תערובת), עגבנייה, עוף, פולי סויה, קנה סוכר, שום"
"28","פלאפל","טעים ופריך","מכניסים את גרגירי החומוס לקערה ושופכים מים עד לכ 7 ס\"מ מעל הגרגירים.\r\nמשרים אותם למשך לילה. \r\nבבוקר תגלו הגרגירים הכפילו את נפחם.\r\nמסננים שוטפים היטב את גרגירי החומוס.\r\nמעבירים אותם למעבד מזון.\r\nמוסיפים: בצל חתוך, שיני שום, פטרוזיליה, קמח, מלח,כמון, כוסברה, פלפל שחור, פלפל קאיין והל. \r\nמעבדים עד לקבלת עיסה סמיכה עם חתיכות.\r\nמעבירים את העיסה לקערה ומניחים במקרר לחצי שעה. \r\nבמחבת מחממים שמן עמוק.\r\nבעזרת 2 כפיות יוצרים כדורים.\r\nמטגים במחבת עד שהכדורים שחומים. \r\nבתאבון!\r\n\r\nהערה: במידה והעיסה מתפרקת בטיגון - ניתן להוסיף 1/2 ביצה לבלילה, לטחון שוב במעבד המזון ואז להכין את הכדורים. ","המנה עשירה בשומן צמחי חד בלתי רווי אשר ידוע בתכונת הורדת ה LDL ללא פגיעה ב HDL.\r\nשימו לב שכדור פלאפל 1 מכיל 300 מ\"ג נתרן! \r\n","","35","ארוחת צהריים, ארוחת ערב","בצל, הל, חומוס, חיטה, כוסברה, כמון, פטרוזיליה, פלפל, שחור, צ\'ילי קאיין, שום"
"29","פלאפל עם קמח חומוס","טעים ופריך","מכניסים את גרגירי החומוס לקערה ושופכים מים עד לכ 7 ס\"מ מעל הגרגירים.\r\nמשרים אותם למשך לילה. \r\nבבוקר תגלו הגרגירים הכפילו את נפחם.\r\nמסננים שוטפים היטב את גרגירי החומוס.\r\nמעבירים אותם למעבד מזון.\r\nמוסיפים: בצל חתוך, שיני שום, פטרוזיליה, קמח חומוס, מלח,כמון, כוסברה, פלפל שחור, פלפל קאיין והל. \r\nמעבדים עד לקבלת עיסה סמיכה עם חתיכות.\r\nמעבירים את העיסה לקערה ומניחים במקרר לחצי שעה. \r\nבמחבת מחממים שמן עמוק.\r\nבעזרת 2 כפיות יוצרים כדורים.\r\nמטגים במחבת עד שהכדורים שחומים. \r\nבתאבון!\r\n\r\nהערה: במידה והעיסה מתפרקת בטיגון - ניתן להוסיף 1/2 ביצה לבלילה, לטחון שוב במעבד המזון ואז להכין את הכדורים. ","המנה גם עשירה בשומן צמחי חד בלתי רווי אשר ידוע בתכונת הורדת ה LDL ללא פגיעה ב HDL.","","35","ארוחת צהריים, ארוחת ערב","בצל, הל, חומוס, כוסברה, כמון, פטרוזיליה, פלפל, שחור, צ\'ילי קאיין, שום"
"30","טבולה מקינואה","","שוטפים את הקינואה היטב.\r\nמעבירים לסיר, מוסיפים 3/4 1 כוסות מים ומרתיחים.\r\nלאחר הרתיחה מורידים לאש קטנה ומבשלים 15 דק\'. \r\nמקררים את הקינואה. \r\nחותכים מלפפון, עגבנייה, פטרוזליה. \r\nמעבירים את הקינואה והירקות התוכים לקערה ומערבבים .\r\nבקערה נפרדת מערבבים מיץ לימון, שום כתוש, שמן זית ומלח. \r\nמוסיפים את הרוטב לסלט ומערבבים היטב!\r\nבתאבון!\r\n","קינואה אומנם משווקת כדגן אך היא אינה דגן ומהווה תחליף טוב לגלוטן. \r\nקינואה עשירה בסיבים, ברזל, אבץ, מגנזיום ומכילה את כל חומצות האמיניות החיוניות . \r\nהמנה עשירה ומשביעה וניתן (בהתאם לתוצאות בידקת האי הסבילות למזון שלך) להוסיף לסלט רכיבים כמו גבינה, אגוזים ועוד. \r\nטיפ משפחתי: מידי פעם שלבו מעט קינאה בסלט הירקות. ","","60","ארוחת ערב, תוספת, סלטים","זית, לימון, מלפפון, עגבנייה, פטרוזיליה, קינואה, שום"
"31","סלט קינואה וחמוציות","","שוטפים את הקינואה היטב.\r\nמעבירים לסיר, מוסיפים 3/4 1 כוסות מים ומרתיחים.\r\nלאחר הרתיחה מורידים לאש קטנה ומבשלים 15 דק\'. \r\nמקררים את הקינואה. \r\nחותכים תפוח עץ ופטרוזליה ומערבבים עם הקינואה.\r\nבקערה נפרדת מערבבים מיץ לימון, שום כתוש, שמן זית ומלח. \r\nמוסיפים את הרוטב לסלט ומערבבים היטב, מוסיפים חמוציות.\r\nבתאבון!\r\n\r\n(לא חובה) ניתן להוסיף אגוזי מלך\r\n","קינואה אומנם משווקת כדגן אך היא אינה דגן ומהווה תחליף טוב לגלוטן. \r\nקינואה עשירה בסיבים, ברזל, אבץ, מגנזיום ומכילה את כל חומצות האמיניות החיוניות . \r\nהמנה עשירה ומשביעה, השילוב של מתוק (מהפרי) עם הרוטב המלוח/חמוץ יוצר בפה חגיגה!\r\n","","60","ארוחת ערב, תוספת, סלטים","זית, חמוציות, לימון, קינואה, שום, תפוח עץ"
"32","אספרגוס קלוי בשום","","מחממים תנור ל 200 מעלות. \r\nחותכים  כס\"מ הקצה של כל ענף אספרגוס. \r\nמסדרים את האספרגוס בתבנית אפייה.\r\nמזלפים שמן זית וקליפת לימון.\r\nמפזרים שום, מלח ופלפל.\r\nאופים 10 דק\', הופכים את הצד של האספרגוס בעזרת מרית ואופים עוד 10 דק\' עד שהאספרגוס שחום וקריספי. \r\nמוציאים מהתנור, מפזרים מעט מיץ לימון. \r\nבתאבון!\r\n","אספרגוס הוא ירק העשיר בויטמין B3 ו B6 והוא נחשב בתרבויות מסוימות כמעורר חשק מיני. \r\nתוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.","","30","נשנוש, תוספת, סלטים","אספרגוס, זית, לימון, פלפל, שחור, שום"
"33","טאקו עוף בסיר לבישול איטי","","בסיר לבישול איטי מניחים עוף, ציר ואת התערובות תבלינים לטאקו. \r\nהערה: תערובות טאקו ניתן לרכוש בחנויות התבלינים. התערובות מורכבת מ: בצל יבש, פפריקה מתוקה, צ\'ילי חריף, שום ושבבי תפו\"א. \r\nשופכים מעל הכל את רוטב הסלסלה. \r\nמבשלים כ 6-8 שעות. \r\nחותכים, מניחים במרכז הטורטיה ומגלגלים. \r\nניתן להוסיף ירקות ורטבים (לא חובה). ","העוף הופך את המנה לעשירה בחלבון ומהווה בערך 50% מהצריכה היומית המומלצת לנשים וגברים מעל גיל 19.\r\nשימו לב שציר העוף ורוטב הסלסה מעשירים את המנה ב 600 מ\"ג נתרן. לכן טועמים ואז מחליטים אם להוסיף עוד מלח. תוספת למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.\r\nחישובי המנה בוצעו ללא טורטיה. כל טורטיה מכילה: 75 קק\"ל, 2 גר\' חלבון, 4 גר\' שומן, 13גר\' פחמימות (מתוכם 2 גר\' סיבים)","","15","ארוחת צהריים, ארוחת ערב","בצל, עגבנייה, עוף, פפריקה, תבלין, צ\'ילי קאיין, שום, תירס, תירס מתוק, תפוח אדמה"
"34","עוף בלסמי עם ירקות ","","בקערה מערבבים את העוף עם חומץ בלסמי, בצל, זוקיני ופלפל אדום. \r\nמכסים ומכניסים למקרר ל 30 דק\'. \r\nבמחבבת פסים מבשלים את העוף והירקות בערך 12 דק\'.\r\nהופכים את העוף והירקות צד ומבשלים עד 12 דק\' - עד שהעוף שחום ועסיסי והירקות קריספים.\r\nבתאבון!\r\n","המנה דלה בשומן ועשירה בחלבון בזכות העוף.החלבון במנה מהווה מעל ל 60% מהצריכה היומית המומלצת למבוגרים מעל גיל 19. \r\nהמנה צבעונית ומעוררת תאבון. \r\nטיפ משפחתי: הכינו את המנה לארוחת ערב, ריח טוב יתפשט בבית ויעורר תאבון. הזמינו את הילדים לבחור את הירקות שהם רוצים להכניס למנה (בהתאם לתוצאות בדיקת אי הסבילות שלכם). \r\nשימו לב : תוספת מלח למנה תעלה את כמות הנתרן. בכפית מלח יש 2300 מ\"ג נתרן. כאשר הכמות המקסימלית הרצויה הינה 2400 מ\"ג נתרן ליום.","","50","ארוחת צהריים, ארוחת ערב","בצל, עוף, ענב / צימוק, פלפל, קישוא"
